"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2477","Verify Search Product Name in Result items for 27"" 4K Monitor","chromium","2026-09-18","passed","2026-09-18","","ui\product.spec.js","",""
"","30344","Verify Search Product Name in Result items for Product 2","chromium","2026-09-18","broken","2026-09-18","","ui\product.spec.js","",""
"","2051","Read Data From Excel","chromium","2026-09-18","passed","2026-09-18","","ui\product.spec.js","",""
"","2016","write Data To Excel","chromium","2026-09-18","passed","2026-09-18","","ui\product.spec.js","",""
"","2075","Verify Search Product Category in Result items","chromium","2026-09-18","passed","2026-09-18","","ui\product.spec.js","",""
"","30319","Verify Search Product Name in Result items for Product 3","chromium","2026-09-18","broken","2026-09-18","","ui\product.spec.js","",""
"","2208","Verify Search Product Availability in Result items","chromium","2026-09-18","passed","2026-09-18","","ui\product.spec.js","",""
"","3140","Verify Search Product Name in Result items for Wireless Mouse","chromium","2026-09-18","passed","2026-09-18","","ui\product.spec.js","",""
"","2948","read Data From Excel","chromium","2026-09-16","passed","2026-09-16","","ui\product.spec.js","",""
"","2433","Verify Search Product Price in Result items","chromium","2026-09-18","passed","2026-09-18","","ui\product.spec.js","",""
"","3101","Verify Search Product Name in Result items","chromium","2026-09-18","passed","2026-09-18","","ui\product.spec.js","",""
"","1927","Verify Search Product Name in Result items for Mechanical Keyboard","chromium","2026-09-18","passed","2026-09-18","","ui\product.spec.js","",""
"","30361","Verify Search Product Name in Result items for Product 1","chromium","2026-09-18","broken","2026-09-18","","ui\product.spec.js","",""
